T,ExpVis,PredictedVis,
21.84418,1.040995,0.98988515,0.957991
22.33235,1.033276,0.9791449,0.946955
23.09172,1.002401,0.96202064,0.930177
24.99014,0.94837,0.92119074,0.890282
28.9497,0.848027,0.8439992,0.815491
31.01085,0.863465,0.79689497,0.780494
32.96351,0.77084,0.7608822,0.749543
38.98422,0.701372,0.6810501,0.665631
41.04536,0.647341,0.65612435,0.640365
42.99803,0.670497,0.62792337,0.617842
45.00493,0.624185,0.602695,0.596018
47.01183,0.624185,0.5783966,0.575423
49.01874,0.570154,0.5550738,0.555974
53.03254,0.531561,0.51829666,0.520167
55.03945,0.531561,0.51048046,0.503666
57.04635,0.500686,0.5032434,0.48801
59.05325,0.500686,0.49481133,0.473148
61.00592,0.485249,0.4864157,0.4594
63.01282,0.469811,0.47789067,0.445947
65.01972,0.469811,0.46927828,0.433138
67.02663,0.462093,0.46006787,0.420933
68.00296,0.446655,0.45558244,0.415213
70.00986,0.431218,0.44642547,0.403836
