Index,d,phi,temp,baseVis,nanoVis,Ypredicted
2,76,0.24,70,0.40389,0.412008,0.41200802
1,47,1,70.00986,0.403836,0.431218,0.44642547
1,36,1,70,0.40389,0.440625,0.44191527
1,47,1,68.00296,0.415213,0.446655,0.45558244
1,47,1,67.02663,0.420933,0.462093,0.46006787
1,43,0,60,0.4664,0.466903,0.47688073
1,32,0.003279,60,0.4664,0.469091,0.47719428
1,43,0.126598,60,0.4664,0.469381,0.47904438
1,47,1,63.01282,0.445947,0.469811,0.47789067
1,47,1,65.01972,0.433138,0.469811,0.46927828
1,36,1,68.01105,0.415166,0.47023,0.4516739
1,43,0.268542,60,0.4664,0.474336,0.48147026
4,29,1,64.17291167,0.43847,0.476759,0.428678
2,76,2.54,70,0.40389,0.480993,0.5128419
1,47,1,61.00592,0.4594,0.485249,0.4864157
1,43,0.548593,60,0.4664,0.489204,0.48625657
1,32,0.134426,60,0.4664,0.490909,0.4774538
4,29,1,59.99356647,0.466446,0.491489,0.44542283
4,29,1,62.18039153,0.451449,0.491489,0.4353581
1,36,1,64.53039,0.4362,0.492434,0.46887118
1,43,0.978261,60,0.4664,0.499115,0.49294424
1,47,1,59.05325,0.473148,0.500686,0.49481133
1,47,1,57.04635,0.48801,0.500686,0.5032434
1,32,0.272131,60,0.4664,0.505455,0.47777444
4,29,1,57.32070076,0.485936,0.506219,0.46043208
1,36,1,57.01657,0.488235,0.507237,0.52885324
1,43,1.396419,60,0.4664,0.518938,0.49754754
4,29,1,55.42537284,0.500594,0.520949,0.4726639
1,32,0.55082,60,0.4664,0.527273,0.48755577
1,47,1,55.03945,0.503666,0.531561,0.51048046
1,47,1,53.03254,0.520167,0.531561,0.51829666
2,21,0.2,54.94246,0.509756,0.542276,0.56814843
1,43,1.998721,60,0.4664,0.546195,0.5484351
1,43,0,50,0.54685,0.546195,0.5202628
4,33,0,50,0.54685,0.548077,0.4725727
4,11,0,50,0.54685,0.548867,0.5667418
2,27,0.99,56.99391,0.488407,0.549082,0.56659627
1,32,0,50,0.54685,0.549091,0.5388212
1,43,0.126598,50,0.54685,0.55115,0.5225672
1,36,1,53.03867,0.520115,0.551645,0.5612326
4,33,0.155709343,50,0.54685,0.553846,0.48424637
1,32,0.980328,60,0.4664,0.556364,0.5221833
1,43,0.268542,50,0.54685,0.558584,0.5251012
2,76,2.54,60,0.4664,0.560286,0.56675845
4,33,0.274048443,50,0.54685,0.561538,0.4931183
4,33,0.394463668,50,0.54685,0.563462,0.50214595
4,29,1,51.48884914,0.533469,0.565139,0.50451076
4,11,0.154883721,50,0.54685,0.568285,0.5785538
1,43,0.548593,50,0.54685,0.568496,0.53213227
1,47,1,49.01874,0.555974,0.570154,0.5550738
4,33,0.556401384,50,0.54685,0.576923,0.5065536
2,27,3.16,66.64727,0.423199,0.577267,0.69292754
1,32,0.131148,50,0.54685,0.578182,0.5485115
4,11,0.393488372,50,0.54685,0.587702,0.6051099
4,33,0.805536332,50,0.54685,0.588462,0.5158502
1,43,0.978261,50,0.54685,0.590796,0.5566389
1,32,0.272131,50,0.54685,0.592727,0.55817956
3,12,0.45,50,0.529197,0.593066,0.64956963
4,29,1,47.40661664,0.571514,0.594599,0.544196
4,33,1.152249135,50,0.54685,0.598077,0.5309952
2,27,2.04,57.13125,0.487368,0.598267,0.6505435
1,43,1.400256,50,0.54685,0.605664,0.56980914
2,21,0.2,48.15217,0.562602,0.607317,0.62103474
